date,crime_count
2023-12-21,672
2023-12-22,673
2023-12-23,710
2023-12-24,634
2023-12-25,506
2023-12-26,643
2023-12-27,642
2023-12-28,638
2023-12-29,634
2023-12-30,711
2023-12-31,636
2024-01-01,856
2024-01-02,642
2024-01-03,651
2024-01-04,662
2024-01-05,653
2024-01-06,614
2024-01-07,624
2024-01-08,626
2024-01-09,536
2024-01-10,649
2024-01-11,622
2024-01-12,538
2024-01-13,526
2024-01-14,386
2024-01-15,478
2024-01-16,470
2024-01-17,548
2024-01-18,579
2024-01-19,566
2024-01-20,537
2024-01-21,525
2024-01-22,590
2024-01-23,616
2024-01-24,595
2024-01-25,680
2024-01-26,694
2024-01-27,651
2024-01-28,690
2024-01-29,657
2024-01-30,694
2024-01-31,675
2024-02-01,711
2024-02-02,668
2024-02-03,638
2024-02-04,663
2024-02-05,695
2024-02-06,685
2024-02-07,695
2024-02-08,686
2024-02-09,730
2024-02-10,685
2024-02-11,629
2024-02-12,652
2024-02-13,636
2024-02-14,657
2024-02-15,636
2024-02-16,683
2024-02-17,640
2024-02-18,649
2024-02-19,649
2024-02-20,641
2024-02-21,660
2024-02-22,654
2024-02-23,618
2024-02-24,618
2024-02-25,681
2024-02-26,657
2024-02-27,675
2024-02-28,643
2024-02-29,693
2024-03-01,737
2024-03-02,627
2024-03-03,659
2024-03-04,690
2024-03-05,677
2024-03-06,644
2024-03-07,644
2024-03-08,620
2024-03-09,630
2024-03-10,609
2024-03-11,646
2024-03-12,711
2024-03-13,678
2024-03-14,624
2024-03-15,634
2024-03-16,762
2024-03-17,650
2024-03-18,627
2024-03-19,634
2024-03-20,692
2024-03-21,657
2024-03-22,635
2024-03-23,598
2024-03-24,697
2024-03-25,646
2024-03-26,645
2024-03-27,675
2024-03-28,640
2024-03-29,597
2024-03-30,621
2024-03-31,602
2024-04-01,658
2024-04-02,577
2024-04-03,529
2024-04-04,605
2024-04-05,635
2024-04-06,681
2024-04-07,608
2024-04-08,675
2024-04-09,690
2024-04-10,674
2024-04-11,665
2024-04-12,709
2024-04-13,681
2024-04-14,723
2024-04-15,709
2024-04-16,671
2024-04-17,667
2024-04-18,601
2024-04-19,680
2024-04-20,619
2024-04-21,668
2024-04-22,703
2024-04-23,648
2024-04-24,648
2024-04-25,599
2024-04-26,681
2024-04-27,665
