date,crime_type,crime_count
,CRIMINAL DAMAGE,26110
,THEFT,48095
,MOTOR VEHICLE THEFT,12686
,BATTERY,8115
,DECEPTIVE PRACTICE,28477
2026-02-01T00:00:00Z,MOTOR VEHICLE THEFT,102
2026-02-01T00:00:00Z,BATTERY,206
2026-02-01T00:00:00Z,ASSAULT,106
2026-02-01T00:00:00Z,THEFT,231
2026-02-01T00:00:00Z,CRIMINAL DAMAGE,91
2026-02-01T00:00:00Z,BURGLARY,49
2026-02-01T00:00:00Z,OTHER OFFENSE,72
2026-02-01T00:00:00Z,DECEPTIVE PRACTICE,61
2026-02-01T00:00:00Z,NARCOTICS,40
2026-02-01T00:00:00Z,ROBBERY,23
,BURGLARY,8001
,ASSAULT,3370
,OTHER OFFENSE,14582
2026-01-01T00:00:00Z,BATTERY,2917
2026-01-01T00:00:00Z,THEFT,3412
2026-01-01T00:00:00Z,OTHER OFFENSE,1129
2026-01-01T00:00:00Z,ASSAULT,1386
2026-01-01T00:00:00Z,NARCOTICS,565
2026-01-01T00:00:00Z,DECEPTIVE PRACTICE,898
2026-01-01T00:00:00Z,BURGLARY,694
2026-01-01T00:00:00Z,CRIMINAL DAMAGE,1720
2026-01-01T00:00:00Z,MOTOR VEHICLE THEFT,1278
2026-01-01T00:00:00Z,ROBBERY,376
,NARCOTICS,891
,ROBBERY,1370
2025-12-01T00:00:00Z,ASSAULT,1447
2025-12-01T00:00:00Z,MOTOR VEHICLE THEFT,1388
2025-12-01T00:00:00Z,BATTERY,2992
2025-12-01T00:00:00Z,THEFT,3944
2025-12-01T00:00:00Z,DECEPTIVE PRACTICE,886
2025-12-01T00:00:00Z,ROBBERY,379
2025-12-01T00:00:00Z,BURGLARY,809
2025-12-01T00:00:00Z,CRIMINAL DAMAGE,1906
2025-12-01T00:00:00Z,OTHER OFFENSE,1118
2025-12-01T00:00:00Z,NARCOTICS,465
2025-11-01T00:00:00Z,ASSAULT,1597
2025-11-01T00:00:00Z,CRIMINAL DAMAGE,2118
2025-11-01T00:00:00Z,BATTERY,3334
2025-11-01T00:00:00Z,ROBBERY,443
2025-11-01T00:00:00Z,OTHER OFFENSE,1160
2025-11-01T00:00:00Z,MOTOR VEHICLE THEFT,1354
