year,crime_type,crime_count
2001,THEFT,97292
2001,BATTERY,93244
2001,CRIMINAL DAMAGE,54957
2001,NARCOTICS,50540
2001,ASSAULT,31297
2001,OTHER OFFENSE,29163
2001,MOTOR VEHICLE THEFT,26969
2001,BURGLARY,25706
2001,ROBBERY,18398
2001,DECEPTIVE PRACTICE,14144
2001,CRIMINAL TRESPASS,13220
2001,PROSTITUTION,6021
2001,WEAPONS VIOLATION,4273
2001,PUBLIC PEACE VIOLATION,2743
2001,SEX OFFENSE,2153
2001,OFFENSE INVOLVING CHILDREN,2137
2001,CRIM SEXUAL ASSAULT,1716
2001,LIQUOR LAW VIOLATION,1637
2001,ARSON,1009
2001,GAMBLING,934
2001,KIDNAPPING,930
2001,HOMICIDE,667
2001,INTERFERENCE WITH PUBLIC OFFICER,405
2001,INTIMIDATION,279
2001,STALKING,203
2001,CRIMINAL SEXUAL ASSAULT,37
2001,OBSCENITY,18
2001,PUBLIC INDECENCY,9
2001,RITUALISM,8
2001,OTHER NARCOTIC VIOLATION,6
2001,CONCEALED CARRY LICENSE VIOLATION,1
2001,DOMESTIC VIOLENCE,1
2002,THEFT,95438
2002,BATTERY,93944
2002,CRIMINAL DAMAGE,54462
2002,NARCOTICS,51742
2002,OTHER OFFENSE,31754
2002,ASSAULT,31439
2002,BURGLARY,25215
2002,MOTOR VEHICLE THEFT,24401
2002,ROBBERY,18486
2002,CRIMINAL TRESPASS,13850
2002,DECEPTIVE PRACTICE,12859
2002,PROSTITUTION,6402
2002,WEAPONS VIOLATION,4279
2002,PUBLIC PEACE VIOLATION,2449
2002,OFFENSE INVOLVING CHILDREN,2434
2002,SEX OFFENSE,2125
2002,CRIM SEXUAL ASSAULT,1754
2002,LIQUOR LAW VIOLATION,1414
2002,ARSON,1029
2002,GAMBLING,970
2002,KIDNAPPING,828
2002,HOMICIDE,657
2002,INTERFERENCE WITH PUBLIC OFFICER,360
2002,INTIMIDATION,335
2002,STALKING,196
2002,CRIMINAL SEXUAL ASSAULT,35
2002,OBSCENITY,26
2002,PUBLIC INDECENCY,8
2002,OTHER NARCOTIC VIOLATION,5
2002,RITUALISM,2
2003,THEFT,95633
2003,BATTERY,88205
2003,NARCOTICS,54221
2003,CRIMINAL DAMAGE,53377
2003,OTHER OFFENSE,30240
2003,ASSAULT,29419
2003,BURGLARY,24684
2003,MOTOR VEHICLE THEFT,21928
2003,ROBBERY,17291
2003,CRIMINAL TRESPASS,14773
2003,DECEPTIVE PRACTICE,12551
2003,PROSTITUTION,6203
2003,WEAPONS VIOLATION,4202
2003,OFFENSE INVOLVING CHILDREN,2827
2003,PUBLIC PEACE VIOLATION,2419
2003,SEX OFFENSE,2024
2003,CRIM SEXUAL ASSAULT,1499
2003,LIQUOR LAW VIOLATION,1311
2003,GAMBLING,1086
